2000,68,73,19
2002,68,77.7,17.3
2004,73.9,90.5,16.6
2006,74.8,88.3,16
2008,77.5,93.6,15
2012,78.2,86.4,16.2
2014,83.3,95.6,20.6
2015,77.8,85.8,14.3
2017,89.7,94.2,20.6
